CEU,178686.4545103724,164683.2655373141,710638.4969969826,695172.8774673506,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
FIN,179031.03582116606,164668.56149457212,710965.9682255012,693572.5784936199,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
GBR,178557.1403260855,164879.99100782542,710566.718115663,694572.3677880415,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
IBS,178070.7344344795,164607.7804279122,709977.62609403,693780.0743441165,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
TSI,178060.36028901432,164743.25674973565,710026.9792547581,694487.5957290985,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
CHB,181002.09791889862,164195.93390416438,712256.7229879721,691202.3085685569,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
CHS,180875.07653216485,164219.9266644536,712291.9496819607,690251.8438598309,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
CDX,180749.69733174375,164233.59592791842,712372.1600722765,691096.0653875971,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
JPT,180807.72411412938,164447.8484909168,712199.4288878061,691255.5260195929,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
KHV,180684.32236718142,164336.49703048647,712244.4091626494,692051.0977138462,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
BEB,179409.556712967,164398.4086724826,711619.4249854035,692038.0899286354,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
GIH,178956.41099198116,164389.55522967855,711067.8653490636,692115.6426770433,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
ITU,179084.76793981768,164362.73144743853,711261.7038301248,692726.3413548132,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
PJL,178926.57037277127,164445.32615981495,711200.8886855347,693279.0507212646,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
STU,178819.5389660521,164423.6005128894,710873.4838432937,692550.7733287431,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
CLM,177906.74421295818,164638.87344858175,709986.8368809808,694691.1106171283,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
MXL,178805.65581596066,164842.31264467165,710971.4087471743,694089.2739075273,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
PEL,179596.90984477516,164775.6267837693,711624.1432884652,693882.312676277,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
PUR,176552.4341835801,164690.5200988222,708663.7137206567,694972.1858532364,1123699.000000024,11329.078703703657,1229892.6342625632,70267.67129629634
